Identificador;Categoria {pt-br};Categoria {en-us};SubCategoria {pt-br};SubCategoria {en-us};Agrupador {pt-br};Grouper {en-us};Objeto {pt-br};Object {en-us};Serviço {pt-br};Service {en-us};Complemento {pt-br};Complement {en-us};Descrição {pt-br};Descrição {en-us};Esforço;Atendimento Corporativo;SLA;Grupo solucionador;Comnetários {pt-br};Comentários - {en-us};Quem Solicita - Ninguém;Quem Solicita - Todos;Quem solicita - TI;Quem solicita - Servicedesk;Quem solicita - Governança;Quem solicita - Key user;Quem solicita - DHO;Quem solicita - VSC;Quem solicita - GQ;Aprovação - Líder;Aprovação - Coord Grupo Soluc.;Aprovação - Diretor;Aprovação - Gerente;Aprovação - Gerente TI;Aprovação - Dono;Aprovação - Adicional;TipoServiço;Automatizado;Automatizado - Preparação;Automatizado - complemento
ITSM-CS-0001626;DTI - Automação - Administrativo;ITD - Automation - Administrative;core;core;Automação;Automation;Operacional;Operational;Atividades UA de PIMS (banco de dados, dashboard, Integração e outros);PIMS UA activity (database, dashboard, integration and others);Desenvolvimento e Serviços;Development and Services;Todas as atividades relacionado a PIMS como controle de usuários, melhorias e desenvolvimentos.;All activities definied as development, user managment and new dashboards.;24;;40;AUTOMACAO;Todas as atividades relacionado a PIMS como controle de usuários, melhorias e desenvolvimentos.;All activities definied as development, user managment and new dashboards.;0,00;1;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001627;DTI - Automação - Administrativo;ITD - Automation - Administrative;core;core;Automação;Automation;Operacional;Operational;Atividades UA de PIMS (banco de dados, dashboard, Integração e outros);PIMS UA activity (database, dashboard, integration and others);Issue, bug, unavaliable;Falha, indisponibilidade;Todas as atividades relacionado a PIMS como falhas e incidentes.;All activities definied as a BUG or Issue.;24;;40;AUTOMACAO;Todas as atividades relacionado a PIMS como falhas e incidentes.;All activities definied as a BUG or Issue.;0,00;1;;;;;;;;;;;;;;;Incidente;;;
ITSM-CS-0000013;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Inovação;Inovation;Administrativo (manutenção, qualidade, segurança);Administrativo (manutenção, qualidade, segurança);Análise de melhorias;Improvement analysis;336;;999;AUTOMACAO;Análise de melhorias;Improvement analysis;1,00;;;;;;;;;1;;;;;;;Solicitação1;;;
ITSM-CS-0000014;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Inovação;Inovation;Laboratório;Laboratory;Análise de melhorias;Improvement analysis;336;;999;AUTOMACAO;Análise de melhorias;Improvement analysis;1,00;;;;;;;;;1;;;;;;;Solicitação1;;;
ITSM-CS-0000015;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Inovação;Inovation;Produção;Produção;Análise de melhorias;Improvement analysis;336;;999;AUTOMACAO;Análise de melhorias;Improvement analysis;1,00;;;;;;;;;1;;;;;;;Solicitação1;;;
ITSM-CS-0000016;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Implantação-comissionamento de novas soluções tecnológicas;Implementation - commissioning of new technological solutions;Administrativo (manutenção, qualidade, segurança);Administrativo (manutenção, qualidade, segurança);Desenvolvimento de melhorias ou comissionamento.;Development of improvements or commissioning.;840;;999;AUTOMACAO;Desenvolvimento de melhorias ou comissionamento.;Development of improvements or commissioning.;1,00;;;;;;;;;1;;;;;;;Solicitação1;;;
ITSM-CS-0000017;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Implantação-comissionamento de novas soluções tecnológicas;Implementation - commissioning of new technological solutions;Laboratório;Laboratory;Desenvolvimento de melhorias ou comissionamento.;Development of improvements or commissioning.;840;;999;AUTOMACAO;Desenvolvimento de melhorias ou comissionamento.;Development of improvements or commissioning.;1,00;;;;;;;;;1;;;;;;;Solicitação1;;;
ITSM-CS-0000018;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Implantação-comissionamento de novas soluções tecnológicas;Implementation - commissioning of new technological solutions;Produção;Produção;Desenvolvimento de melhorias ou comissionamento.;Development of improvements or commissioning.;840;;999;AUTOMACAO;Desenvolvimento de melhorias ou comissionamento.;Development of improvements or commissioning.;1,00;;;;;;;;;1;;;;;;;Solicitação1;;;
ITSM-CS-0000019;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Reuniões, Comunicação;Meetings, Communication;Administrativo (manutenção, qualidade, segurança);Administrativo (manutenção, qualidade, segurança);Reuniões com os stakeholders;Meetings with stakeholders;40;;999;AUTOMACAO;Reuniões com os stakeholders;Meetings with stakeholders;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000020;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Reuniões, Comunicação;Meetings, Communication;Laboratório;Laboratory;Reuniões com os stakeholders;Meetings with stakeholders;40;;999;AUTOMACAO;Reuniões com os stakeholders;Meetings with stakeholders;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000021;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Reuniões, Comunicação;Meetings, Communication;Produção;Produção;Reuniões com os stakeholders;Meetings with stakeholders;40;;999;AUTOMACAO;Reuniões com os stakeholders;Meetings with stakeholders;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000022;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Configurar hardware/software;Configure hardware/software;Laboratório;Laboratory;Toda solicitação de configuração de hardware ou software - projeto;Any request to configure hardware or software - project;168;;999;AUTOMACAO;Toda solicitação de configuração deve estar atrelada a um hardware ou software;Any request to configure must be attached to a hardware or software;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000023;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Configurar hardware/software;Configure hardware/software;Produção;Produção;Toda solicitação de configuração de hardware ou software - projeto;Any request to configure hardware or software - project;168;;999;AUTOMACAO;Toda solicitação de configuração deve estar atrelada a um hardware ou software;Any request to configure must be attached to a hardware or software;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000024;DTI - Automação - Projeto;ITD - Automation - Project;Projeto;Project;Automação;Automation;Automação - Projeto;Automação - Projeto;Configurar hardware/software;Configure hardware/software;Administrativo (manutenção, qualidade, segurança);Administrativo (manutenção, qualidade, segurança);Toda solicitação de configuração de hardware ou software - projeto;Any request to configure hardware or software - project;168;;999;AUTOMACAO;Toda solicitação de configuração deve estar atrelada a um hardware ou software;Any request to configure must be attached to a hardware or software;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000009;DTI - Automação - Serviços;ITD - Automation - Services;Serviços;Services;Automação;Automation;Automação - Capacitação e Treinamento;Automation - Qualification and training;Ajuda e suporte a chamados escalonados;Stepped ticket help and support;Apoio;Support;Prover suporte a outra área de negócio.;Provide support to another business area.;16;;32;AUTOMACAO;Qualquer tividade solicitada por outra área de negócio e  em qualquer nível. Favor definir a área de TI que está solicitando (sistemas, administração de redes ou Service desk) e se é uma atividade de primeiro ou segundo nível.;Any activity requested by another business area and at any level. Please define the area that´s mading the request (systems, network administration or Service desk) and whether it is a first or second level activity.;1,00;;;;;;;;;1;;;;;;;Solicitação1;;;
ITSM-CS-0000010;DTI - Automação - Serviços;ITD - Automation - Services;Qualidade;Quality;Automação;Automation;Automação - Capacitação e Treinamento;Automation - Qualification and training;Elaboração de documentação técnica;Development of technical documentation;Documento;Document;Prover a documentação do Projeto;Provide technical documentation;168;;999;AUTOMACAO;Providenciar a documentação do projeto conforme padrão.;Provide project documentation as standard.;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000011;DTI - Automação - Serviços;ITD - Automation - Services;Qualidade;Quality;Automação;Automation;Automação - Capacitação e Treinamento;Automation - Qualification and training;Falta de documentação do equipamento;Lack of equipment documentation;Documento;Document;Providenciar a documentação técnica do equipamento e desenvolver trobleshoot (nível 1 e 2);Provide technical documentation of the equipment and develop trobleshoot (levels 1 and 2);168;;999;AUTOMACAO;A política de documentação deve contemplar para a automação, o nome do equipemento, material digital e impresso (caso necessário a discutir). Apresenta tanto o hardware (SW, UTM, IHM, elétrica) quanto software (SO, aplicativos e BD).;The documentation policy must include, for automation, the name of the equipment, digital and printed material (if necessary to be discussed). It features both hardware (SW, UTM, HMI, electrical) and software (OS, applications and BD).;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000012;DTI - Automação - Serviços;ITD - Automation - Services;Treinamento;Training;Automação;Automation;Automação - Capacitação e Treinamento;Automation - Qualification and training;Treinamentos e eventos;Trainings and events;Treinamento;Training;Desenvolvimento - Participação de treinamentos;Development - Participation in training;40;;999;AUTOMACAO;Elaboração de treinamentos, ensino de atividade, participação em treinamentos ou apresentação de fornecedores e novas tecnologias;Preparation of training, activity teaching, participation in training or presentation of suppliers and new technologies;1,00;;;;;;;;;1;;;;;;;Solicitação1;;;
ITSM-CS-0000865;DTI - Automação - Serviços;ITD - Automation - Services;Serviços;Services;Automação;Automation;Suporte;Support;Suporte / Dúvidas;Support / Questions;N/A;N/A;Abertura de chamado por qualquer área que necessita do suporte;Opening of the ticket by any area that needs support;960;1;72;AUTOMACAO;Descreva sua dúvida;Describe your question;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001349;DTI - Business Partner;ITD - Business Partner;Atividades administrativas;Administrative activities;Business Partner;Business Partner;Atividades administrativas;Administrative activities;Atividades diárias;Daily activities;Registro de atividades;Activity record;Registro de atividades diárias;Registro de atividades diárias;1;1;999;ITBP;Registro de atividades diárias;Registro de atividades diárias;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001350;DTI - Business Partner;ITD - Business Partner;Atividades administrativas;Administrative activities;Business Partner;Business Partner;Atividades administrativas;Administrative activities;Gestão de equipe;Team management;Registro de atividades;Activity record;Registro de atividades de coordenação;Registro de atividades de coordenação;1;1;99;ITBP;Registro de atividades de coordenação;Registro de atividades de coordenação;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001351;DTI - Business Partner;ITD - Business Partner;Atividades administrativas;Administrative activities;Business Partner;Business Partner;Atividades administrativas;Administrative activities;Material de apoio;Support document;Registro de atividades;Activity record;Registro de atividades de construção de material de apoio;Registro de atividades de construção de material de apoio;1;1;999;ITBP;Registro de atividades de construção de material de apoio;Registro de atividades de construção de material de apoio;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001352;DTI - Business Partner;ITD - Business Partner;Atividades administrativas;Administrative activities;Business Partner;Business Partner;Atividades administrativas;Administrative activities;Participação em eventos;Events;Registro de atividades;Activity record;Participação em eventos;Participação em eventos;1;1;999;ITBP;Participação em eventos;Participação em eventos;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001353;DTI - Business Partner;ITD - Business Partner;Atividades administrativas;Administrative activities;Business Partner;Business Partner;Atividades administrativas;Administrative activities;Participação em reuniões;Meetings;Registro de atividades;Activity record;Participação em reuniões;Participação em reuniões;1;1;999;ITBP;Participação em reuniões;Participação em reuniões;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001354;DTI - Business Partner;ITD - Business Partner;Atividades administrativas;Administrative activities;Business Partner;Business Partner;Atividades administrativas;Administrative activities;Treinamento;Training;Registro de atividades;Activity record;Participação em treinamento;Participação em treinamento;1;1;999;ITBP;Participação em treinamento;Participação em treinamento;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001355;DTI - Business Partner;ITD - Business Partner;Comercial & Marketing;Sales and Marketing;Business Partner;Business Partner;Comercial & Marketing;Sales and Marketing;Acompanhamento de fornecedor;Supplier follow-up;N/A;N/A;Acompanhamento de fornecedor;Acompanhamento de fornecedor;1;1;999;ITBP;Acompanhamento de fornecedor;Acompanhamento de fornecedor;0,00;;1;;;;;;;;1;;;;;;Solicitação1;;;
ITSM-CS-0001356;DTI - Business Partner;ITD - Business Partner;Comercial & Marketing;Sales and Marketing;Business Partner;Business Partner;Comercial & Marketing;Sales and Marketing;Acompanhamento operacional;Operational follow-up;N/A;N/A;Acompanhamento operacional;Acompanhamento operacional;1;1;999;ITBP;Acompanhamento operacional;Acompanhamento operacional;0,00;;1;;;;;;;;1;;;;;;Solicitação1;;;
ITSM-CS-0001357;DTI - Business Partner;ITD - Business Partner;Comercial & Marketing;Sales and Marketing;Business Partner;Business Partner;Comercial & Marketing;Sales and Marketing;Análise de demanda;Demand analysis;N/A;N/A;Análise de nova demanda da área de negócio;Análise de nova demanda da área de negócio;1;1;999;ITBP;Análise de nova demanda da área de negócio;Análise de nova demanda da área de negócio;0,00;1;;;;;;;;;1;;1;;;;Solicitação1;;;
ITSM-CS-0001358;DTI - Business Partner;ITD - Business Partner;Comercial & Marketing;Sales and Marketing;Business Partner;Business Partner;Comercial & Marketing;Sales and Marketing;Gerenciamento de projeto;Project management;N/A;N/A;Gerenciamento de um projeto em andamento;Gerenciamento de um projeto em andamento;1;1;999;ITBP;Gerenciamento de um projeto em andamento;Gerenciamento de um projeto em andamento;0,00;;1;;;;;;;;1;;;;;;Solicitação1;;;
ITSM-CS-0001359;DTI - Business Partner;ITD - Business Partner;Comercial & Marketing;Sales and Marketing;Business Partner;Business Partner;Comercial & Marketing;Sales and Marketing;Mapeamento de processo;Process Maping;Registro de atividades;Activity record;Mapeamento de processo de negócio ou TI;Mapeamento de processo de negócio ou TI;1;1;999;ITBP;Mapeamento de processo de negócio ou TI;Mapeamento de processo de negócio ou TI;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001360;DTI - Business Partner;ITD - Business Partner;Comercial & Marketing;Sales and Marketing;Business Partner;Business Partner;Comercial & Marketing;Sales and Marketing;Melhorias de sistema;System improvements;N/A;N/A;Gerenciamento de um projeto em andamento;Gerenciamento de um projeto em andamento;1;1;999;ITBP;Gerenciamento de um projeto em andamento;Gerenciamento de um projeto em andamento;0,00;;1;;;;;;;;1;;1;;;;Solicitação1;;;
ITSM-CS-0001361;DTI - Business Partner;ITD - Business Partner;Comercial & Marketing;Sales and Marketing;Business Partner;Business Partner;Comercial & Marketing;Sales and Marketing;Suporte técnico - Escalonamento;Ticket escalation;Registro de atividades;Activity record;Acompanhar ou escalar chamados não atendidos;Acompanhar ou escalar chamados não atendidos;1;1;999;ITBP;Acompanhar ou escalar chamados não atendidos;Acompanhar ou escalar chamados não atendidos;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001362;DTI - Business Partner;ITD - Business Partner;Comercial & Marketing;Sales and Marketing;Business Partner;Business Partner;Comercial & Marketing;Sales and Marketing;Visita a Campo;Field visit;Registro de atividades;Activity record;Registro de visita a campo;Registro de visita a campo;1;1;999;ITBP;Registro de visita a campo;Registro de visita a campo;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001363;DTI - Business Partner;ITD - Business Partner;Recursos Humanos;Human Resources;Business Partner;Business Partner;Recursos Humanos;Human Resources;Acompanhamento de fornecedor;Supplier follow-up;N/A;N/A;Acompanhamento de fornecedor;Acompanhamento de fornecedor;1;1;999;ITBP;Acompanhamento de fornecedor;Acompanhamento de fornecedor;0,00;;1;;;;;;;;1;;;;;;Solicitação1;;;
ITSM-CS-0001364;DTI - Business Partner;ITD - Business Partner;Recursos Humanos;Human Resources;Business Partner;Business Partner;Recursos Humanos;Human Resources;Acompanhamento operacional;Operational follow-up;N/A;N/A;Acompanhamento operacional;Acompanhamento operacional;1;1;999;ITBP;Acompanhamento operacional;Acompanhamento operacional;0,00;;1;;;;;;;;1;;;;;;Solicitação1;;;
ITSM-CS-0001365;DTI - Business Partner;ITD - Business Partner;Recursos Humanos;Human Resources;Business Partner;Business Partner;Recursos Humanos;Human Resources;Análise de demanda;Demand analysis;N/A;N/A;Análise de nova demanda da área de negócio;Análise de nova demanda da área de negócio;1;1;999;ITBP;Análise de nova demanda da área de negócio;Análise de nova demanda da área de negócio;0,00;1;;;;;;;;;1;;1;;;;Solicitação1;;;
ITSM-CS-0001366;DTI - Business Partner;ITD - Business Partner;Recursos Humanos;Human Resources;Business Partner;Business Partner;Recursos Humanos;Human Resources;Gerenciamento de projeto;Project management;N/A;N/A;Gerenciamento de um projeto em andamento;Gerenciamento de um projeto em andamento;1;1;999;ITBP;Gerenciamento de um projeto em andamento;Gerenciamento de um projeto em andamento;0,00;;1;;;;;;;;1;;;;;;Solicitação1;;;
ITSM-CS-0001367;DTI - Business Partner;ITD - Business Partner;Recursos Humanos;Human Resources;Business Partner;Business Partner;Recursos Humanos;Human Resources;Mapeamento de processo;Process maping;Registro de atividades;Activity record;Mapeamento de processo de negócio ou TI;Mapeamento de processo de negócio ou TI;1;1;999;ITBP;Mapeamento de processo de negócio ou TI;Mapeamento de processo de negócio ou TI;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001368;DTI - Business Partner;ITD - Business Partner;Recursos Humanos;Human Resources;Business Partner;Business Partner;Recursos Humanos;Human Resources;Melhorias de sistema;System improvements;N/A;N/A;Solicitação de melhorias em sistemas não SAP;Solicitação de melhorias em sistemas não SAP;1;1;999;ITBP;Solicitação de melhorias em sistemas não SAP;Solicitação de melhorias em sistemas não SAP;0,00;1;;;;;;;;;1;;1;;;;Solicitação1;;;
ITSM-CS-0001369;DTI - Business Partner;ITD - Business Partner;Recursos Humanos;Human Resources;Business Partner;Business Partner;Recursos Humanos;Human Resources;Suporte técnico - Escalonamento;Ticket escalation;Registro de atividades;Activity record;Acompanhar ou escalar chamados não atendidos;Acompanhar ou escalar chamados não atendidos;1;1;999;ITBP;Acompanhar ou escalar chamados não atendidos;Acompanhar ou escalar chamados não atendidos;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001370;DTI - Business Partner;ITD - Business Partner;F&F;F&F;Business Partner;Business Partner;Distribuidoras F&F;F&F;Abertura de F&F;New branch;N/A;N/A;Abertura de nova F&F;Abertura de nova F&F;1;1;999;ITBP;Abertura de nova F&F;Abertura de nova F&F;0,00;1;;;;;;;;;1;;1;;;;Solicitação1;;;
ITSM-CS-0001371;DTI - Business Partner;ITD - Business Partner;F&F;F&F;Business Partner;Business Partner;Distribuidoras F&F;F&F;Acompanhamento de fornecedor;Supplier follow-up;N/A;N/A;Acompanhamento de fornecedor;Acompanhamento de fornecedor;1;1;999;ITBP;Acompanhamento de fornecedor;Acompanhamento de fornecedor;0,00;;1;;;;;;;;1;;;;;;Solicitação1;;;
ITSM-CS-0001372;DTI - Business Partner;ITD - Business Partner;F&F;F&F;Business Partner;Business Partner;Distribuidoras F&F;Distribuidoras F&F;Acompanhamento operacional;Operational follow-up;N/A;N/A;Acompanhamento operacional;Acompanhamento operacional;999;1;24;ITBP;Acompanhamento operacional;Acompanhamento operacional;0,00;;1;;;;;;;;1;;;;;;Solicitação1;;;
ITSM-CS-0001373;DTI - Business Partner;ITD - Business Partner;F&F;F&F;Business Partner;Business Partner;Distribuidoras F&F;F&F;Análise de demanda;Demand analysis;N/A;N/A;Análise de nova demanda da área de negócio;Análise de nova demanda da área de negócio;1;1;999;ITBP;Análise de nova demanda da área de negócio;Análise de nova demanda da área de negócio;0,00;1;;;;;;;;;1;;1;;;;Solicitação1;;;
ITSM-CS-0001374;DTI - Business Partner;ITD - Business Partner;F&F;F&F;Business Partner;Business Partner;Distribuidoras F&F;F&F;Gerenciamento de demanda de Infraestrutura;Infrastructure demand management;N/A;N/A;Gerenciamento de demanda de infraestrutura;Gerenciamento de demanda de infraestrutura;1;1;999;ITBP;Gerenciamento de demanda de infraestrutura;Gerenciamento de demanda de infraestrutura;0,00;;1;;;;;;;;1;;;;;;Solicitação1;;;
ITSM-CS-0001375;DTI - Business Partner;ITD - Business Partner;F&F;F&F;Business Partner;Business Partner;Distribuidoras F&F;F&F;Gerenciamento de projeto;Project management;N/A;N/A;Gerenciamento de um projeto em andamento;Gerenciamento de um projeto em andamento;1;1;999;ITBP;Gerenciamento de um projeto em andamento;Gerenciamento de um projeto em andamento;0,00;;1;;;;;;;;1;;;;;;Solicitação1;;;
ITSM-CS-0001376;DTI - Business Partner;ITD - Business Partner;F&F;F&F;Business Partner;Business Partner;Distribuidoras F&F;F&F;Mapeamento de processo;Process maping;Registro de atividades;Activity record;Mapeamento de processo de negócio ou TI;Mapeamento de processo de negócio ou TI;1;1;999;ITBP;Mapeamento de processo de negócio ou TI;Mapeamento de processo de negócio ou TI;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0001377;DTI - Business Partner;ITD - Business Partner;F&F;F&F;Business Partner;Business Partner;Distribuidoras F&F;F&F;Melhorias de sistema;System improvements;NA;NA;Solicitação de melhorias em sistemas não SAP;Solicitação de melhorias em sistemas não SAP;1;1;999;ITBP;Solicitação de melhorias em sistemas não SAP;Solicitação de melhorias em sistemas não SAP;0,00;1;;;;;;;;;1;;1;;;;Solicitação1;;;
ITSM-CS-0001378;DTI - Business Partner;ITD - Business Partner;F&F;F&F;Business Partner;Business Partner;Distribuidoras F&F;F&F;Suporte técnico - Escalonamento;Ticket escalation;Registro de atividades;Activity record;Acompanhar ou escalar chamados não atendidos;Acompanhar ou escalar chamados não atendidos;1;1;999;ITBP;Acompanhar ou escalar chamados não atendidos;Acompanhar ou escalar chamados não atendidos;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
